knt,asf,nraum,dsf,gsf,gnraum,dsf_neu,xasf,yasf,zdsf
bs,26.4,266013,10080,0.4,5.5,126517,5.14,5.14,10.08
"GE",98.7,600748,6084,3.2,11.5,19951,9.93,9.93,6.08
"ZH",390.7,1879280,4810,3.3,14.1,18725,19.77,19.77,4.81
"ZG",35.5,167335,4720,6.9,16,10054,5.96,5.96,4.72
"VD",321.4,917368,2854,6.4,18.3,7293,17.93,17.93,2.85
"AG",253.2,795644,3142,5.8,13.3,6731,15.91,15.91,3.14
"BL",93.8,339651,3662,3.8,6.8,6268,9.69,9.69,3.66
"SZ",58.7,186439,3174,6.6,11,5105,7.66,7.66,3.17
"LU",153.8,495793,3223,7.1,11.5,5027,12.40,12.40,3.22
"TI",165.6,446478,2696,3.9,7.4,4963,12.87,12.87,2.70
"NE",70.3,219810,3127,4.5,7.3,4916,8.38,8.38,3.13
"TG",131.3,326439,2468,7.3,12.2,3970,11.46,11.46,2.47
"SG",205.1,621339,3030,5.5,6.8,3716,14.32,14.32,3.03
"NW",15.6,51417,3296,5.4,6,3663,3.95,3.95,3.30
"FR",155.3,352811,2272,11.0,18.4,3582,12.46,12.46,2.27
"OW",20,42751,2288,6.7,10.2,3396,4.47,4.47,2.29
"SH",36.1,38362,2723,5.8,7.3,3381,6.01,6.01,2.72
"VS",202.7,398205,1962,8.6,14,3043,14.24,14.24,1.96
"SO",116.2,317031,2728,6.0,6.6,3016,10.78,10.78,2.73
"BE",438.9,1246519,2840,6.2,5.8,2686,20.95,20.95,2.84
"AR",23.3,65359,2810,4.3,3.9,2584,4.83,4.83,2.81
"GL",21.2,49015,2313,6.0,4.9,1902,4.60,4.60,2.31
"GR",147.7,249637,1691,6.2,6,1649,12.15,12.15,1.69
"AI",8.7,19416,2239,6.5,4,1410,2.95,2.95,2.24
"JU",59.8,89157,1492,6.8,6.3,1403,7.73,7.73,1.49
"UR",21.3,42886,2011,6.8,3.3,1023,4.62,4.62,2.01
"CH",126,393266,3221,6,9,9845,11.22,11.22,3.22
