knt,kntNr,asf,nraum,dsf,gsf,gnraum,dsfNeu,xasf,yasf,zdsf
AG,1,253.2,795644,3142,5.80,13.3,6731,15.91,15.91,3.14
AI,2,8.7,19416,2239,6.50,4,1410,2.95,2.95,2.24
AR,3,23.3,65359,2810,4.30,3.9,2584,4.83,4.83,2.81
BE,4,438.9,1246519,2840,6.20,5.8,2686,20.95,20.95,2.84
BL,5,93.8,339651,3662,3.80,6.8,6268,9.69,9.69,3.66
BS,6,26.4,266013,10080,0.40,5.5,126517,5.14,5.14,10.08
FR,7,155.3,352811,2272,11.00,18.4,3582,12.46,12.46,2.27
GE,8,98.7,600748,6084,3.20,11.5,19951,9.93,9.93,6.08
GL,9,21.2,49015,2313,6.00,4.9,1902,4.60,4.60,2.31
GR,10,147.7,249637,1691,6.20,6,1649,12.15,12.15,1.69
JU,11,59.8,89157,1492,6.80,6.3,1403,7.73,7.73,1.49
LU,12,153.8,495793,3223,7.10,11.5,5027,12.40,12.40,3.22
NE,13,70.3,219810,3127,4.50,7.3,4916,8.38,8.38,3.13
NW,14,15.6,51417,3296,5.40,6,3663,3.95,3.95,3.30
OW,15,20,42751,2288,6.70,10.2,3396,4.47,4.47,2.29
SG,16,205.1,621339,3030,5.50,6.8,3716,14.32,14.32,3.03
SH,17,36.1,38362,2723,5.80,7.3,3381,6.01,6.01,2.72
SO,18,116.2,317031,2728,6.00,6.6,3016,10.78,10.78,2.73
SZ,19,58.7,186439,3174,6.60,11,5105,7.66,7.66,3.17
TG,20,131.3,326439,2468,7.30,12.2,3970,11.46,11.46,2.47
TI,21,165.6,446478,2696,3.90,7.4,4963,12.87,12.87,2.70
UR,22,21.3,42886,2011,6.80,3.3,1023,4.62,4.62,2.01
VD,23,321.4,917368,2854,6.40,18.3,7293,17.93,17.93,2.85
VS,24,202.7,398205,1962,8.60,14,3043,14.24,14.24,1.96
ZG,25,35.5,167335,4720,6.90,16,10054,5.96,5.96,4.72
ZH,26,390.7,1879280,4810,3.30,14.1,18725,19.77,19.77,4.81
CH,27,126,393266,3221,5.81,9,9845,11.22,11.22,3.22
